sday,stime,eday,MUMH,MUML,DELH,DELL,delay
2,1060,3,32,23,18,10,15
3,1060,4,31,22,20,20,11
4,1060,5,32,23,23,12,15
5,1060,6,31,23,21,12,0
6,1060,7,32,23,20,14,14
7,1060,8,31,23,15,14,145
8,1060,9,30,23,19,11,15
9,1060,9,30,23,21,10,0
10,1060,11,31,22,22,10,14
11,1060,12,31,23,23,10,0
12,1060,13,29,22,21,16,15
13,1060,14,28,22,16,14,0
14,1060,15,27,21,13,12,37
15,1060,16,27,21,12,12,5
16,1060,17,26,22,16,11,15
17,1060,18,27,21,17,8,45
18,1060,19,26,21,13,11,32
19,1060,20,27,20,12,11,14
20,1060,21,27,19,12,9,85
21,1060,22,28,20,14,8,125
22,1060,23,28,21,17,8,135
23,1060,24,30,21,11,8,100
24,1060,25,31,23,7,7,40
25,1060,26,30,21,15,10,88
26,1060,27,28,19,20,10,15
27,1068,28,27,21,20,10,10
28,1060,29,31,20,22,13,0
29,1060,30,31,23,23,23,15
30,1060,31,31,23,20,16,5
31,1060,32,31,23,22,20,10
32,1060,33,32,23,21,19,0
33,1060,34,32,23,20,20,10
34,1060,35,31,22,23,21,14
35,1060,36,30,21,22,21,15
36,1060,37,28,21,20,18,5
37,1060,38,26,21,21,20,0
38,1060,39,27,23,23,21,41
39,1060,40,28,20,20,20,10
40,1060,41,29,22,26,24,0
41,1060,42,29,24,26,24,10
42,1060,43,27,23,26,24,10
43,1060,44,27,21,21,20,15
44,1060,45,26,21,24,23,15
45,1060,46,29,21,23,21,15
46,1060,47,31,22,24,23,15
47,1060,48,30,23,24,24,15
48,1060,49,30,24,23,21,15
49,1060,50,30,23,29,27,10
50,1060,51,29,25,28,26,10
51,1060,52,31,25,25,25,0
52,1060,52,31,26,27,26,0
53,1060,52,31,25,29,28,0
54,1185,55,30,23,30,28,100
55,1185,56,28,23,30,27,205
56,1060,57,30,23,30,29,24
57,1115,58,30,24,30,28,40
58,1060,59,34,24,30,27,0
59,1060,60,30,26,29,29,15
61,1060,62,34,27,29,27,0
62,1060,63,34,28,30,30,14
63,1060,64,29,25,26,26,14
64,1060,65,34,26,24,17,14
65,1060,66,32,25,28,28,15
66,1060,67,31,25,26,26,0
67,1060,68,33,25,26,19,0
68,1060,69,33,26,28,28,5
69,1060,70,34,25,28,21,15
70,1060,71,36,26,26,20,10
71,1060,72,32,26,25,25,5
72,1061,73,30,26,24,18,0
73,1060,74,29,24,27,27,10
74,1060,75,31,25,27,27,15
75,1060,76,31,25,30,30,0
76,1060,77,30,25,22,22,5
77,1060,78,31,25,30,23,5
78,1060,79,36,27,29,22,15
79,1060,80,36,28,30,23,15
80,1060,81,37,27,29,23,15
81,1060,82,33,26,29,21,50
82,1060,83,37,27,33,33,15
83,1060,84,31,27,33,25,10
84,1060,85,32,27,27,27,10
85,1060,86,32,27,28,28,0
86,1060,87,35,28,29,22,10
87,1060,88,36,28,28,22,10
88,1060,89,34,27,27,23,10
89,1060,90,33,27,29,22,10
90,1060,91,33,26,37,36,15
91,1068,92,32,26,39,37,5
92,1060,93,31,26,39,37,0
93,1060,94,31,26,38,37,10
94,1060,95,31,27,35,34,15
95,1060,96,29,27,36,35,15
96,1060,97,31,27,35,35,0
97,1060,98,33,27,34,34,15
98,1060,99,36,26,36,36,15
99,1060,100,35,27,36,35,5
100,1060,101,32,28,35,34,10
101,1060,102,36,28,34,34,15
102,1060,103,35,28,38,37,0
103,1060,104,32,27,39,38,15
104,1060,105,34,26,39,39,0
105,1060,106,32,26,42,41,10
106,1060,108,31,27,40,39,0
107,1060,108,32,27,39,39,15
108,1060,109,33,27,40,39,0
109,1060,110,33,28,38,38,5
110,1060,111,32,28,38,38,0
111,1060,112,31,28,38,38,15
112,1060,113,31,28,36,36,0
113,1060,114,31,27,37,36,0
114,1060,115,31,28,39,37,5
115,1060,116,31,28,40,37,0
116,1060,117,33,26,37,37,15
117,1060,118,38,28,40,39,5
118,1060,119,36,29,40,38,0
119,1060,120,33,28,39,38,14
120,1060,121,34,28,39,28,50
121,1060,122,33,28,36,30,0
122,1060,123,32,28,37,34,15
123,1060,124,34,28,38,32,5
124,1060,125,32,29,33,27,5
125,1060,126,32,29,35,28,10
126,1060,127,32,28,35,30,15
127,1060,128,32,28,38,31,15
128,1060,130,33,29,35,30,15
129,1060,130,33,29,37,31,15
130,1060,131,31,29,33,27,5
131,1060,132,33,29,37,31,10
132,1060,133,33,29,39,34,10
133,1060,134,33,29,39,32,10
134,1060,135,32,30,41,34,5
135,1060,136,33,29,40,34,15
136,1060,137,33,29,40,34,15
137,1060,138,33,29,42,35,15
138,1060,139,33,30,39,33,10
139,1060,140,33,30,38,33,15
140,1060,141,33,30,38,32,14
141,1060,142,32,30,38,32,0
142,1060,143,33,30,37,34,15
143,1060,144,33,30,32,32,55
144,1060,145,34,30,37,29,10
145,1060,146,33,30,37,30,15
146,1060,147,34,30,40,34,15
147,1060,148,33,30,38,35,15
148,1060,149,34,30,32,28,0
149,1060,150,33,30,26,23,10
150,1060,151,34,30,36,29,14
151,1060,152,34,30,37,31,0
152,1060,153,33,31,40,34,0
153,1060,154,34,33,40,34,0
154,1060,155,34,30,41,35,15
155,1060,156,34,31,38,33,0
156,1060,157,33,29,38,34,0
157,1060,158,32,31,38,32,0
158,1060,159,33,30,38,33,10
159,1060,160,33,31,38,32,0
160,1060,161,34,31,38,32,0
161,1060,162,33,31,33,30,10
162,1060,163,31,26,37,32,0
163,1060,164,33,31,39,34,0
164,1060,165,33,31,32,30,0
165,1060,166,33,30,36,34,0
166,1060,167,33,30,34,30,10
167,1060,168,33,30,36,31,0
169,1060,170,33,28,37,33,0
170,1060,171,31,30,38,34,5
171,1060,172,29,25,35,30,90
172,1060,173,31,25,35,30,0
173,1060,174,31,27,33,28,15
174,1060,176,30,27,37,33,12
175,1060,176,29,27,38,33,0
176,1060,177,28,27,37,32,0
177,1060,178,29,25,37,32,50
178,1060,180,29,26,29,26,14
179,1060,180,28,27,37,32,120
180,1060,181,27,25,38,34,15
181,1075,184,29,26,34,31,15
182,1060,183,30,26,29,28,15
183,1060,184,28,27,30,28,0
184,1060,185,30,27,30,28,15
185,1170,186,30,28,35,31,235
186,1060,187,30,27,34,30,0
187,1060,188,29,27,34,31,0
188,1060,189,29,28,33,31,0
189,1060,190,29,28,34,31,0
190,1060,191,30,28,35,31,0
191,1060,192,29,27,31,29,5
192,1060,193,29,27,33,29,0
194,1060,195,30,27,31,30,15
195,1060,196,30,28,32,29,0
196,1060,199,29,26,26,25,105
197,1060,198,30,28,29,27,149
198,1060,199,29,26,29,25,14
199,1060,200,29,26,33,29,45
200,1060,201,27,25,35,32,0
201,1077,204,29,27,35,31,15
202,1060,203,26,25,35,32,0
203,1060,204,29,26,33,29,0
204,1060,205,29,25,33,30,15
205,1060,206,29,26,33,31,0
206,1060,207,29,27,34,31,0
207,1060,208,28,25,29,29,15
208,1060,209,26,25,32,28,15
209,1060,210,28,24,28,28,0
210,1060,211,28,24,29,27,15
211,1060,212,27,24,30,28,5
212,1060,213,28,26,29,28,0
214,1120,215,28,27,33,29,32
215,1060,216,29,28,34,31,15
216,1060,217,30,26,34,32,0
217,1060,218,27,25,31,28,0
218,1060,219,29,27,35,30,0
219,1060,220,29,27,50,31,0
220,1060,221,29,28,33,30,0
221,1060,222,30,27,33,30,0
222,1060,223,30,27,29,27,10
223,1060,224,29,27,33,28,10
224,1060,225,29,28,32,28,10
225,1060,226,29,28,29,27,5
226,1060,227,29,27,33,29,15
227,1060,228,30,28,33,29,0
228,1060,229,30,28,31,28,5
229,1060,230,30,27,30,28,15
230,1060,231,30,28,34,29,14
231,1060,232,30,27,34,30,14
232,1060,233,30,28,33,28,0
233,1060,234,30,28,34,28,15
234,1060,236,29,27,32,30,0
235,1060,236,28,25,32,29,15
236,1060,237,29,26,33,29,0
237,1060,238,30,28,33,29,5
238,1060,239,28,26,32,28,10
239,1060,240,26,24,35,30,5
240,1060,241,27,25,33,29,0
241,1060,242,29,27,29,28,0
242,1060,243,29,27,27,25,15
243,1060,244,30,27,27,26,15
244,1060,245,29,27,32,28,25
245,1060,247,28,26,32,28,0
246,1060,247,29,27,32,28,0
247,1060,248,29,28,32,27,0
248,1060,249,27,26,32,28,0
250,1060,251,29,27,32,29,0
251,1060,252,29,24,28,28,0
252,1060,253,29,27,33,29,15
253,1060,254,29,28,33,28,40
254,1060,255,30,28,33,28,15
255,1060,256,29,28,34,29,0
256,1060,257,27,26,33,28,15
258,1060,259,28,27,34,29,0
259,1060,260,28,26,33,29,0
260,1060,261,26,25,35,29,0
261,1060,262,28,25,34,29,0
262,1060,263,25,24,35,29,0
263,1060,264,27,26,35,29,0
264,1060,265,28,27,31,27,5
265,1060,266,28,26,32,27,15
266,1060,267,30,28,32,29,0
267,1060,268,29,28,33,28,5
268,1060,269,29,28,33,29,15
269,1060,270,29,28,34,28,15
270,1060,271,29,28,34,28,10
271,1060,272,29,28,34,34,0
272,1060,273,29,27,34,29,15
273,1060,274,29,27,35,28,0
274,1060,275,28,26,34,31,15
275,1060,276,26,24,34,30,10
276,1060,277,26,25,34,30,0
277,1060,278,27,25,29,27,0
278,1060,279,26,24,31,28,10
279,1060,280,29,25,33,27,15
280,1060,283,30,26,31,26,15
281,1060,282,30,26,33,25,0
283,1060,284,30,27,32,24,0
284,1060,285,30,27,32,26,0
285,1060,286,30,26,32,25,5
286,1060,287,32,26,32,23,0
287,1060,288,33,25,31,22,0
288,1060,289,33,26,32,23,15
289,1060,290,33,27,32,22,15
290,1060,291,32,28,32,22,15
291,1060,292,34,29,32,22,0
292,1060,293,35,28,32,22,0
293,1060,294,33,26,32,25,15
294,1060,295,33,26,32,25,15
295,1060,297,33,26,30,23,5
296,1060,297,34,26,30,23,0
297,1060,298,32,26,30,24,10
298,1060,299,31,26,30,22,15
299,1060,300,31,23,30,20,15
300,1060,301,34,26,29,20,0
301,1060,302,34,25,30,18,10
302,1060,303,34,25,29,18,0
303,1060,304,33,24,27,19,0
304,1060,305,33,27,28,18,0
305,1060,306,33,27,26,18,0
306,1060,307,33,27,27,20,0
307,1060,308,33,23,28,18,10
308,1060,309,32,25,24,18,15
309,1060,310,32,24,24,15,15
310,1060,311,33,25,26,16,15
312,1060,313,33,24,26,14,15
313,1060,314,33,24,27,15,15
314,1060,316,32,22,27,15,15
315,1060,316,32,22,27,15,15
316,1060,317,32,23,28,17,0
317,1060,318,31,23,28,17,14
318,1060,319,32,25,25,14,0
321,1060,322,33,27,24,15,15
322,1060,323,32,26,24,13,14
323,1060,324,32,24,26,14,5
324,1060,325,32,22,27,14,15
325,1060,326,32,21,27,16,0
326,1060,327,33,21,26,15,0
327,1060,328,33,23,26,13,35
328,1060,329,32,25,26,16,5
330,1060,332,33,22,25,17,0
331,1060,334,32,23,21,16,10
332,1060,334,34,24,21,16,10
333,1060,335,33,23,22,16,180
334,1060,335,33,22,22,16,160
335,1060,336,33,24,22,13,235
336,1060,337,32,22,23,14,48
337,1060,338,32,22,23,11,15
338,1060,339,33,27,23,11,0
339,1060,340,33,26,22,12,15
340,1060,341,31,25,20,13,145
341,1060,342,31,21,20,9,175
342,1060,343,32,22,23,10,134
343,1060,344,31,21,17,13,130
344,1060,346,31,20,21,13,25
345,1060,346,30,20,25,13,15
346,1060,348,31,22,24,12,15
347,1060,348,32,23,20,13,15
348,1060,349,32,24,20,12,15
349,1060,350,32,25,21,8,14
350,1060,351,33,27,19,11,15
351,1060,354,32,26,19,10,15
352,1060,353,33,25,19,9,8
353,1060,354,30,22,20,13,15
354,1060,355,31,23,21,13,15
355,1060,356,32,23,20,10,15
356,1060,357,32,22,20,9,0
357,1060,358,31,22,19,9,66
358,1060,359,31,22,14,13,10
359,1060,360,31,21,19,11,5
360,1060,361,32,23,20,11,0
361,1060,362,30,23,21,10,10
362,1060,363,31,20,17,11,80
363,1060,364,32,22,14,11,155
364,1060,365,33,21,16,16,120
365,1060,1,32,23,20,10,93
